BBCTitle,BBCDescription,BBCLink,BBCDate
Coronavirus: PM promises future independent inquiry,"Boris Johnson tells MPs an investigation into the coronavirus outbreak will be held ""in the future"".",https://www.bbc.co.uk/news/uk-politics-53419544,"Wed, 15 Jul 2020 13:31:08 GMT"
Coronavirus: Matt Hancock rejects face masks and coverings for offices,"There are no plans to make office workers in England wear face coverings, the health secretary says.",https://www.bbc.co.uk/news/uk-53415030,"Wed, 15 Jul 2020 14:19:04 GMT"
Coronavirus: A user's guide to wearing a face mask to the shops,"From stopping your glasses fogging up to washing techniques, here's what you need to know.",https://www.bbc.co.uk/news/uk-53395513,"Wed, 15 Jul 2020 00:28:09 GMT"
Coronavirus: ‘Lego helped me get out of bed’,"Charlotte Tyrer, 25, makes portraits of celebrities to keep herself busy during lockdown.",https://www.bbc.co.uk/news/uk-england-nottinghamshire-53271864,"Tue, 14 Jul 2020 23:46:43 GMT"
Coronavirus: which way to wear a face mask?,"Across the world, people are being asked to wear face coverings to help stop coronavirus from spreading.",https://www.bbc.co.uk/news/health-52606128,"Tue, 14 Jul 2020 23:12:40 GMT"
Coronavirus in South Africa: Inside Port Elizabeth's 'hospitals of horrors',A BBC investigation exposes chronic failures in the health system in one of the poorest areas.,https://www.bbc.co.uk/news/world-africa-53396057,"Tue, 14 Jul 2020 23:26:32 GMT"
Coronavirus: The last-round fight for NYC's bastions of boxing?,"With no clear path to reopening, New York's boxing gyms fear they may never return after the pandemic.",https://www.bbc.co.uk/news/world-us-canada-53398218,"Tue, 14 Jul 2020 21:43:53 GMT"
Coronavirus: How does lockdown work in Leicester and on a Herefordshire farm?,"Local lockdowns are in force on a Herefordshire farm and in Leicester, but how do they work?",https://www.bbc.co.uk/news/uk-england-52934822,"Tue, 14 Jul 2020 12:27:33 GMT"
Coronavirus: What powers do the police have?,"Coronavirus lockdown rules are changing across the UK, but who is responsible for enforcing them?",https://www.bbc.co.uk/news/explainers-52106843,"Tue, 14 Jul 2020 17:48:30 GMT"
Coronavirus vaccine: When will we have one?,About 200 groups of medical researchers around the world are working on a vaccine for Covid-19.,https://www.bbc.co.uk/news/health-51665497,"Wed, 08 Jul 2020 16:03:19 GMT"
Coronavirus UK map: How many confirmed cases are there in your area?,Key graphics explaining how coronavirus has spread in the UK and the government's response.,https://www.bbc.co.uk/news/uk-51768274,"Tue, 14 Jul 2020 17:29:47 GMT"
Coronavirus immunity: Can you catch it twice?,Immunity is the crucial question and understanding it will tell us how the pandemic will end.,https://www.bbc.co.uk/news/health-52446965,"Mon, 13 Jul 2020 09:24:31 GMT"
Coronavirus: What is a recession?,The world faces the worst recession for 80 years. But what does that mean?,https://www.bbc.co.uk/news/business-52986863,"Tue, 14 Jul 2020 08:23:36 GMT"
