BBCTitle,BBCSentiment,BBCPolarity,CNNTitle,CNNSentiment,CNNPolarity
Coronavirus: Matt Hancock rejects face masks and coverings for offices,Neutral,0.0,Analysis: Trump offers delusion as Covid-19 surges,Positive,0.1
Coronavirus: A user's guide to wearing a face mask to the shops,Neutral,0.0,The US saw a record number of new Covid-19 cases Tuesday,Positive,0.13636363636363635
Coronavirus: â€˜Lego helped me get out of bedâ€™,Neutral,0.0,McConnell warns Kentucky about Covid-19 surge as Trump downplays pandemic,Neutral,0.0
Coronavirus: which way to wear a face mask?,Neutral,0.0,Opinion: Reckoning with the Trump effect on school reopening,Neutral,0.0
Coronavirus in South Africa: Inside Port Elizabeth's 'hospitals of horrors',Neutral,0.0,"1 million people in the UK have quit smoking during the pandemic, survey shows",Neutral,0.0
Coronavirus: The last-round fight for NYC's bastions of boxing?,Neutral,0.0,Rowdy tourists flouting laws raise residents' fears of another coronavirus surge,Neutral,0.0
Coronavirus: How does lockdown work in Leicester and on a Herefordshire farm?,Neutral,0.0,Disneyland Paris reopens with new Covid-19 measures,Positive,0.13636363636363635
Coronavirus: What powers do the police have?,Neutral,0.0,The handful of countries still welcoming US tourists,Neutral,0.0
Coronavirus vaccine: When will we have one?,Neutral,0.0,It's official: The CDC wants you to wear a mask,Positive,0.2
Coronavirus UK map: How many confirmed cases are there in your area?,Positive,0.45,Why it's getting harder to get exact change,Positive,0.075
Coronavirus immunity: Can you catch it twice?,Neutral,0.0,The ludicrous plot against Anthony Fauci ,Neutral,0.0
Coronavirus: What is a recession?,Neutral,0.0,,Neutral,0.0
